0	0
1	1
2	1
3	2
4	2
5	3
6	3
7	4
8	4
9	5
10	5
11	6
12	6
13	7
14	7
15	8
16	8
17	9
18	9
19	10
20	10
21	11
22	11
23	12
24	12
25	13
26	13
27	14
28	14
29	15
29	16
30	17
31	17
32	18
33	18
34	19
35	20
35	21
36	22
36	23
37	24
37	25
38	26
38	27
39	28
39	29
40	30
41	31
41	32
42	33
43	34
44	34
45	35
46	35
47	36
48	36
49	37
50	37
51	38
52	38
53	39
54	40
54	41
55	42
55	43
56	44
56	45
57	46
57	47
58	48
58	49
59	50
59	51
60	52
60	53
61	54
61	55
62	56
63	56
64	57
65	57
66	58
67	58
68	59
69	60
69	61
70	62
71	63
71	64
72	65
72	66
73	67
73	68
74	69
75	70
76	71
77	71
78	72
79	72
80	73
81	74
82	74
83	75
84	75
85	76
86	77
86	78
87	79
87	80
88	81
88	82
89	83
89	84
90	85
90	86
91	87
91	88
92	89
92	90
93	91
93	92
94	93
94	94
95	95
95	96
96	97
96	98
97	99
97	100
98	101
98	102
99	103
99	104
100	105
100	106
101	107
101	108
102	109
102	110
103	111
103	112
104	113
104	114
105	115
105	116
106	117
106	118
107	119
107	120
108	121
108	122
109	123
109	124
110	125
110	126
111	127
111	128
112	129
112	130
113	131
113	132
114	133
114	134
115	135
115	136
116	137
116	138
117	139
117	140
118	141
118	142
119	143
119	144
120	145
121	146
122	146
123	147
124	147
125	148
126	148
127	149
128	149
129	150
129	151
130	152
131	153
131	154
132	155
132	156
133	157
133	158
134	159
134	160
135	161
135	162
136	163
136	164
137	165
138	166
139	167
140	167
141	168
142	168
143	169
144	169
145	170
146	170
147	171
148	172
149	172
150	173
150	174
151	175
152	175
153	176
154	176
155	177
156	178
157	179
158	179
159	180
160	180
161	181
162	181
163	182
164	182
165	183
166	183
167	184
168	184
169	185
170	185
171	186
172	187
173	188
174	188
175	189
176	189
177	190
178	191
179	192
180	192
181	193
182	194
183	194
184	195
185	196
185	197
186	198
186	199
187	200
187	201
188	202
189	203
189	204
190	205
190	206
191	207
191	208
192	209
192	210
193	211
194	211
195	212
196	212
197	213
198	213
199	214
200	214
201	215
201	216
202	217
202	218
203	219
203	220
204	221
204	222
205	223
205	224
206	225
206	226
207	227
207	228
208	229
208	230
209	231
210	231
211	232
212	232
213	233
214	234
215	235
216	236
217	237
218	238
219	238
220	239
221	239
222	240
223	240
224	241
225	241
226	242
227	242
228	243
229	244
229	245
230	246
230	247
231	248
231	249
232	250
232	251
233	252
234	253
234	254
235	255
236	255
237	256
238	257
238	258
239	259
240	259
241	260
242	260
243	261
244	262
244	263
245	264
246	265
247	265
248	266
249	266
250	267
251	267
252	268
253	268
254	269
255	269
256	270
257	270
258	271
259	271
260	272
261	272
262	273
263	273
264	274
265	274
266	275
267	275
268	276
269	276
270	277
271	277
272	278
