2.762812189757823944e-02,6.166822277009487152e-03,2.146131545305252075e-02
8.610022254288196564e-03,3.341884352266788483e-03,5.268133711069822311e-03
5.661441944539546967e-03,2.873466582968831062e-03,2.787975827232003212e-03
4.877144470810890198e-03,2.626298228278756142e-03,2.250847639515995979e-03
4.447835963219404221e-03,2.396154683083295822e-03,2.051679417490959167e-03
4.169501364231109619e-03,2.224178984761238098e-03,1.945321331731975079e-03
3.957515582442283630e-03,2.086432650685310364e-03,1.871083863079547882e-03
3.753851400688290596e-03,1.936413231305778027e-03,1.817438052967190742e-03
3.617910668253898621e-03,1.846346422098577023e-03,1.771564478985965252e-03
3.478284459561109543e-03,1.750544644892215729e-03,1.727739581838250160e-03
3.361037699505686760e-03,1.660596230067312717e-03,1.700443448498845100e-03
3.240185324102640152e-03,1.570465392433106899e-03,1.669720280915498734e-03
3.156476886942982674e-03,1.509155030362308025e-03,1.647320925258100033e-03
3.042517928406596184e-03,1.423584297299385071e-03,1.618933631107211113e-03
2.962556667625904083e-03,1.360925729386508465e-03,1.601630938239395618e-03
2.870494965463876724e-03,1.291644526645541191e-03,1.578851137310266495e-03
2.801724942401051521e-03,1.239627366885542870e-03,1.562099321745336056e-03
2.749761566519737244e-03,1.202124520204961300e-03,1.547636929899454117e-03
2.698379103094339371e-03,1.164383022114634514e-03,1.533996430225670338e-03
2.658694516867399216e-03,1.137363491579890251e-03,1.521329977549612522e-03
